Bwd Packet Length Max,Min Packet Length,Bwd Packet Length Min,Flow Duration,Flow IAT Mean,URG Flag Count,min_seg_size_forward,Init_Win_bytes_backward,Fwd Packet Length Mean,Fwd Packet Length Max,Down/Up Ratio,Total Length of Fwd Packets,Fwd Packets/s,Bwd Packets/s,Bwd Header Length,Fwd IAT Min,Fwd Header Length,Init_Win_bytes_forward,Flow IAT Min,Labelb,original_prediction,adversarial_prediction
2.0274295721426583,-0.7149873357085289,-0.5998106464603997,2.500174734773737,1.617791934687752,-0.3217403353926736,-0.9193083699788552,-0.2067184709904354,0.3059085755447731,0.1793848920549793,0.4539607404984423,0.0246914430951223,-0.2581674154432666,-0.1796576601922088,1.7897992232327091,-0.1180763951080679,0.0275719937409287,-0.4915996575114396,-0.0528728086769658,0.0,1,0.0
5.83782716336631,-0.7149873357085289,-0.5998106464603997,2.467016945224732,1.617838535275805,-0.3217403353926736,0.9036570048905862,-0.2067184709904354,-0.1265625458943099,0.1497441005102216,-1.0110849651261204,-0.0433590788156014,-0.2581672919092376,-0.1796584118162319,1.7226149515084064,-0.1182051107356062,0.0976329894459864,-0.4725404094989299,-0.0528859649919027,0.0,1,0.0
0.7186859373188852,-0.7149873357085289,-0.5998106464603997,2.056966272309173,1.497151296001228,-0.3217403353926736,0.9036570048905862,-0.2067184709904354,-0.0168989039226251,0.1738625272389535,0.4539607404984423,-0.0403271292452208,-0.2581673750843127,-0.1796576630169175,-0.8050721821610997,-0.1182050976525281,0.0297408439975744,-0.4724536676451153,-0.0528859206404391,0.0,1,0.0
2.052673398373507,-0.7149873357085289,-0.5998106464603997,2.503909881938748,2.030189352729681,-0.3217403353926736,0.9036570048905862,-0.2067184709904354,-0.0009376937964356,0.1987382249667293,-1.0110849651261204,-0.0371999824422,-0.2581674188789762,-0.1796581767173204,0.19097428298620583,-0.1182050900522694,0.0297408439975744,-0.4724536676451153,-0.0528858948756616,0.0,1,0.0
-0.7017227650120552,-0.7149873357085289,-0.5998106464603997,2.4676701604425504,1.618269100510407,-0.3217403353926736,0.9036570048905862,-0.2067184709904354,-0.057609329844907,0.1772567825127826,-1.0110849651261204,-0.0399004342980339,-0.2581673745518926,-0.179657910536083,1.7500759635581253,-0.1182047643576376,0.052371559147045,-0.4740608127798797,-0.0528847907751241,0.0,1,0.0
-0.6981646347340476,-0.7149873357085289,-0.5998106464603997,-0.4395333704417746,-0.2979907144505375,3.108096467853595,0.9036570048905862,-0.2053201592920298,-0.3149391984172782,-0.290636106343291,0.4539607404984423,-0.0987196789903636,-0.2039853426542344,0.1494735071710662,-0.0931902929372286,-0.1182052283004787,0.44511247531493425,-0.4735018057764834,-0.0528566530726478,1.0,0,1.0
5.932732581790467,-0.7149873357085289,-0.5998106464603997,1.9919060006126823,1.4503684080429289,-0.3217403353926736,-0.9193083699788552,-0.2074176268396383,-0.2766589756707626,-0.2622265390939044,-1.0110849651261204,-0.0887197791909784,-0.2581672686493398,-0.1796582157645876,0.9521316759261256,-0.1182050208558706,0.0099389682417875,-0.473711433402757,-0.0528856603007755,0.0,1,0.0
-0.8078512153583383,-0.7149873357085289,-0.5998106464603997,-0.4395290721830177,-0.2979824753376748,-0.0580967807464256,0.9036570048905862,-0.5129927870328473,-0.6697914103575281,-0.9236105693479342,-1.0110849651261204,-1.1805627454114838,-0.221303230045007,-0.0676920932336716,-0.1024532810926102,-0.118179456895251,-0.5415383609884131,-0.4755980820392196,-0.0528638750465475,0.0,1,0.0
-0.563082906227327,-0.7149873357085289,-0.5998106464603997,-0.4395354135311391,-0.298007662297295,-0.3217403353926736,0.9036570048905862,-0.17787303862547954,0.6619599122106792,-0.9774415510718859,-1.0110849651261204,-0.0987196789903636,2.1199113107627783,-0.1796594150562375,-0.1178915946849128,-0.1182051107356062,-0.4651607944721427,-0.4740608127798797,-0.0528859649919027,0.0,1,0.0
-0.8297318947162851,-0.4515717652706569,-0.5998106464603997,-0.3741103399046454,-0.1686335777440706,-0.3217403353926736,-0.9193083699788552,0.13438493184288813,-0.5160256389322015,0.3024431706856528,-1.0110849651261204,-0.0933625898121215,-0.2581584921545966,-0.1796594150562375,-0.1178915946849128,-0.1182051107356062,-0.5769187423068326,-0.473711433402757,-0.0528859649919027,0.0,1,0.0
